id,title,link,rating,reviews,guests,bedrooms,beds,baths,years_hosting,price_original,price_discount,nights,total_nights,special_offer,cleaning_fee,service_fee,total
41,,https://www.airbnb.com/rooms/897605606382549408?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3N60E_pzTE90k-4&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,4.87,31,3,1,3,2,2,86,86,4,344,0,35,54,433
42,,https://www.airbnb.com/rooms/1285786087369494535?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3nR6vEeHRk9yNQi&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,0,0,3,1,2,2,0,115,115,4,460,0,35,70,565
43,,https://www.airbnb.com/rooms/1075440593688301046?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3eO-h8sgyKzz62B&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,0,2,3,1,2,1,5,84,84,4,336,0,40,53,429
44,,https://www.airbnb.com/rooms/30046583?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3wpZC0HsULK8rb9&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,4.89,9,3,1,1,1,6,126,126,4,504,0,5,83,592
45,,https://www.airbnb.com/rooms/54016335?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3hPk_5RrDQS5q8H&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,4.88,51,4,1,3,1.5,6,250,200,4,800,0,60,121,981
46,,https://www.airbnb.com/rooms/674033937301855180?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3jc2-VII8AfQrV-&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,4.88,40,4,1,2,2,2,120,120,4,480,0,50,75,605
47,,https://www.airbnb.com/rooms/1307419073544992308?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3OFOjopOVYm0Jvo&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,0,0,4,2,1,3,0,140,140,4,560,0,15,81,656
48,,https://www.airbnb.com/rooms/607042304873564249?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3EAZYTul4A5SZgq&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,4.87,31,3,1,1,1,8,99,87,4,348,0,15,51,414
49,,https://www.airbnb.com/rooms/968883860765181647?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3lmxwC54gfmEbem&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,4.97,32,4,2,3,1.5,7,110,110,4,455,0,18,65,524
50,,https://www.airbnb.com/rooms/40881165?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3FakJHLqyn7Fy3u&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,4.88,69,2,1,1,1.5,7,76,76,4,312,0,15,45,363
